type	time	latitude	longitude	name	desc
T	2018-07-18 19:37:48	43.775667000	-69.976667000		
T	2018-07-18 19:38:33	43.777333000	-69.976500000		
T	2018-07-18 19:39:16	43.779000000	-69.976333000		
T	2018-07-18 19:40:00	43.780667000	-69.976500000		
T	2018-07-18 19:40:45	43.782333000	-69.976333000		
T	2018-07-18 19:41:31	43.783833000	-69.975000000		
T	2018-07-18 19:42:15	43.785167000	-69.973500000		
T	2018-07-18 19:43:00	43.786500000	-69.972000000		
T	2018-07-18 19:43:45	43.787833000	-69.970500000		
T	2018-07-18 19:44:32	43.789167000	-69.968833000		
T	2018-07-18 19:45:24	43.790667000	-69.967500000		
T	2018-07-18 19:46:34	43.792167000	-69.966333000		
T	2018-07-18 20:01:56	43.791000000	-69.968000000		
T	2018-07-18 20:02:51	43.789500000	-69.969500000		
T	2018-07-18 20:03:41	43.788000000	-69.970833000		
T	2018-07-18 20:04:27	43.786500000	-69.972167000		
T	2018-07-18 20:05:13	43.785000000	-69.973500000		
T	2018-07-18 20:05:57	43.783500000	-69.974667000		
T	2018-07-18 20:06:43	43.782000000	-69.976000000		
T	2018-07-18 20:07:29	43.780500000	-69.977167000		
T	2018-07-18 20:08:16	43.778833000	-69.978167000		
T	2018-07-18 20:09:00	43.777167000	-69.978667000		
T	2018-07-18 20:09:45	43.775500000	-69.978667000		
T	2018-07-18 20:10:26	43.773833000	-69.978333000		
T	2018-07-18 20:11:09	43.772167000	-69.978500000		
T	2018-07-18 20:11:54	43.770500000	-69.979333000		
T	2018-07-18 20:12:37	43.769000000	-69.980500000		
T	2018-07-18 20:13:21	43.767500000	-69.981667000		
T	2018-07-18 20:14:06	43.766000000	-69.982833000		
T	2018-07-18 20:14:50	43.764333000	-69.983833000		
T	2018-07-18 20:15:34	43.763167000	-69.985500000		
T	2018-07-18 20:16:15	43.761833000	-69.987000000		
T	2018-07-18 20:17:03	43.760500000	-69.988500000		
T	2018-07-18 20:17:59	43.759000000	-69.989833000		
T	2018-07-18 20:18:52	43.757500000	-69.991000000		
T	2018-07-18 20:19:46	43.756000000	-69.992167000		
T	2018-07-18 20:20:45	43.754333000	-69.992333000		
T	2018-07-18 20:33:00	43.752833000	-69.993667000		
T	2018-07-18 20:34:16	43.751167000	-69.994667000		
T	2018-07-18 20:35:12	43.749667000	-69.996000000		
