,Gulf Challenger Harpswell,2018-05-17 15:53:21,2018-05-19 21:13:48
,ifcbfile,latitude,longitude
298,D20180519T195749_IFCB009.hdr,43.297204,-70.387991
299,D20180519T200518_IFCB009.hdr,43.264297,-70.416815
300,D20180519T201247_IFCB009.hdr,43.2311774,-70.44439
301,D20180519T202016_IFCB009.hdr,43.19866978947368,-70.47136336842105
302,D20180519T202745_IFCB009.hdr,43.166137,-70.498033
303,D20180519T203514_IFCB009.hdr,43.13367305263158,-70.52512868421053
304,D20180519T204243_IFCB009.hdr,43.1006512,-70.55234
305,D20180519T205012_IFCB009.hdr,43.07075033333333,-70.58311342857144
306,D20180519T205741_IFCB009.hdr,43.05697852631579,-70.63226168421053
307,D20180519T210510_IFCB009.hdr,43.04703527272728,-70.68225845454546
308,D20180519T211239_IFCB009.hdr,43.07157316666667,-70.70641333333333
309,D20180519T212008_IFCB009.hdr,,
310,D20180519T212737_IFCB009.hdr,,
311,D20180519T213506_IFCB009.hdr,,
312,D20180519T214235_IFCB009.hdr,,
313,D20180519T215001_IFCB009.hdr,,
